Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7AjfklMN4WpQYz5FkT4E66,"Lady","Brown Sugar","D'Angelo",1995-07-03,346266,67,false,,2021-08-20T04:02:00Z,"neo soul","Virgin Records",0.815,0.365,8,-11.835,0,0.0875,0.14,0.0258,0.121,0.721,84.9,4
spotify:track:6xkryXuiZU360Lngd4sx13,"Fantasy","Daydream","Mariah Carey",1995-10-03,243493,78,false,,2022-09-16T08:12:46Z,"kerst","Columbia",0.669,0.727,7,-7.588,1,0.0353,0.139,0,0.123,0.807,102.322,4
spotify:track:47t8t4OPGwiIC9JHLbFZ7c,"He's Mine","azz izz","MoKenStef",1995-07-04,254106,66,false,,2022-08-23T02:58:10Z,"","Century Park Records",0.63,0.525,11,-8.693,1,0.0321,0.075,0.0731,0.115,0.381,64.982,4
spotify:track:2zwmugV2IbUwKq5JgOWEpv,"Mary Jane (All Night Long)","My Life","Mary J. Blige",1994-01-01,279240,67,false,,2022-09-16T08:12:46Z,"r&b","Uptown",0.784,0.298,5,-9.549,0,0.0543,0.127,0.0000327,0.0678,0.845,87.172,4
spotify:track:2voXNGgRrosxCJA6foTVau,"Cruisin'","Brown Sugar","D'Angelo",1995-07-03,384666,61,false,,2022-09-16T08:12:46Z,"neo soul","Virgin Records",0.373,0.525,1,-12.728,0,0.169,0.38,0.000454,0.0816,0.328,74.764,4
spotify:track:6sHsXIJoEN5JpdkGMQDJxt,"The Boy Is Mine","Never Say Never","Brandy;Monica",1998-05-29,294786,76,false,,2022-09-16T08:12:46Z,"r&b","Atlantic Records",0.704,0.707,1,-6.537,0,0.0391,0.539,0.00106,0.318,0.761,93.145,4
spotify:track:2zbjlcLi1VQWqDNYdhyx1l,"So Anxious","100% Ginuwine","Ginuwine",1999-03-15,276066,72,false,,2022-09-16T08:12:46Z,"r&b","550 Music",0.733,0.395,6,-11.959,0,0.0366,0.279,0.00000237,0.468,0.661,96.085,4
spotify:track:4PEGwWH4tL6H7dGl4uVSPg,"Like a Tattoo","Love Deluxe","Sade",1992-10-26,218000,82,false,,2022-10-27T04:00:00Z,"","Epic",0.557,0.16,5,-16.302,0,0.0315,0.922,0.000756,0.0996,0.133,136.01,4
spotify:track:7rt0kEDWRg3pgTZJKuszoE,"Brown Sugar","Brown Sugar","D'Angelo",1995-07-03,262893,66,true,,2022-09-16T08:12:46Z,"neo soul","Virgin Records",0.717,0.486,9,-8.342,1,0.169,0.529,0.0318,0.102,0.579,83.077,4
spotify:track:3c6afiysmB7OnxQzzSqRfD,"So Into You","Tamia","Tamia",1998,261866,73,false,,2022-09-16T08:12:46Z,"r&b","Rhino/Warner Records",0.656,0.479,7,-7.055,0,0.0348,0.0665,0.00272,0.168,0.708,184.374,4
spotify:track:3NpsJc5SOINskuK3z08Q9C,"No Scrubs","Fanmail","TLC",1999-02-23,214440,55,false,,2024-02-23T05:00:00Z,"","Arista/LaFace Records",0.736,0.666,8,-4.268,0,0.0783,0.025,0.000666,0.0682,0.578,92.927,4
spotify:track:6t8JpJtI0PgVRSuMDGWZlH,"None Of Ur Friends Business","100% Ginuwine","Ginuwine",1999-03-15,365800,69,false,,2022-09-16T08:12:46Z,"r&b","550 Music",0.83,0.414,9,-11.136,0,0.197,0.243,0,0.627,0.556,99.234,4
spotify:track:4jnFqNWeJCeCRHc4HCdxfd,"Remember the Time","Dangerous","Michael Jackson",1991-11-13,240134,81,false,,2021-08-20T04:02:00Z,"","Epic/Legacy",0.831,0.921,5,-2.383,0,0.0582,0.153,0.00224,0.305,0.795,108.002,4
spotify:track:6m59VvDUi0UQsB2eZ9wVbH,"Poison","Poison","Bell Biv DeVoe",1990-01-01,261853,76,false,,2021-08-20T04:02:00Z,"new jack swing","Geffen",0.84,0.56,6,-10.53,0,0.21,0.00195,0.00417,0.633,0.775,111.815,4
spotify:track:4MTHIKGWNTBoubzDMkXFfa,"I Can Love You","Share My World","Mary J. Blige;Lil' Kim",1997-01-01,286400,67,false,,2021-08-20T04:02:00Z,"r&b,east coast hiphop","Geffen*",0.635,0.614,7,-7.165,1,0.197,0.0179,0.000201,0.415,0.736,174.213,4
spotify:track:7H6ev70Weq6DdpZyyTmUXk,"Say My Name","The Writing's On The Wall","Destiny's Child",1999-07-27,271333,80,false,,2021-08-20T04:02:00Z,"","Columbia",0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,4
