2.73024,0.174252,0.0272407,0.0390596,0.523408,0.120743,0.0513954,2.0443,0.262285,1.76064,0.11884,0.0194409
2.89714,0.126401,0.0420602,0.0262166,0.545616,0.109932,0.0443216,1.84169,0.207563,1.98029,0.103534,0.0762153
2.69566,0.240528,0.9128,0.101708,0.430577,0.0788521,0.0286647,1.48818,0.22621,1.74965,0.112483,0.0482482
1.65858,0.377522,2.21722,0.0386473,0.385959,0.0544202,0.128954,1.14898,0.0902421,2.14985,0.120852,0.0754812
0.549903,0.281131,3.10657,0.0384338,0.330571,0.0792122,0.261038,0.428107,0,2.31438,0.142127,0.0415868
0.313168,0.235164,3.31296,0.031644,0.262363,0.131753,0.256911,0.0416907,0,2.26584,0.125528,0.0235997
0.351494,0.327345,3.16839,0.020442,0.227438,0.131843,0.17876,0.0601592,0.16479,1.94954,0.123453,7.03089e-06
0.53503,0.234782,2.69646,0.122171,0.101522,0.134491,0.138808,0.178256,0.33379,1.25304,0.00168273,0.0610627
1.30418,0.488705,1.64033,0.17737,0.205059,0.113785,0.132585,0.119255,0.222522,0.65347,0.000833166,0.140863
1.60458,0.434889,0.119916,0.467733,0.0677308,0.0636543,0.130636,0.245545,0.182835,0.651828,0.141081,0.351813
1.13237,0.583734,0.00289775,0.68363,0.0554725,0.0425637,0.0586504,0.559432,0.421914,0.710948,0.319415,1.23372
0.764484,0.604793,0.157979,0.825171,0.123317,0.482707,0.543441,0.575842,0.559267,0.976156,0.388173,1.22082
0.416659,0.508339,1.92336,0.651494,0.18084,0.557806,0.500241,0.587851,0.601974,1.26831,0.156077,1.21343
0.0676306,0.101936,2.93903,0.298811,0.192671,0.445293,0.575281,0.697818,0.518952,1.72017,0.147338,0.808123
0.0044172,0.0599389,3.24919,0,0.154913,0.0407785,0.485712,1.1356,0.47219,1.68902,0.496338,0.185936
0.0416289,0.13578,3.10293,0,0.093603,0.0579435,0.229913,1.18412,0.204573,1.66552,0.145014,0.0648745
0.0248893,0,2.94442,0.00590336,0.108731,0.0530483,0.213918,0.909768,0.117778,1.81184,0.125423,0.0496153
0.0909377,0.283114,2.83013,0.00121425,0.122402,0.0468831,0.179439,0.76571,0.00592046,2.07601,0.170024,0.0246046
0.0813145,0.100665,2.98825,0.138636,0.121956,0.0359529,0.289704,0.627652,0.0693202,2.35856,0.180999,0.285731
0.423614,0,3.31206,0.178238,0.246112,0.0316619,0.516776,0.452411,0.0431442,1.71734,0.127436,0.372207
0.503154,0,3.37814,0.128862,0.189321,0.0336932,0.469667,0.44148,0.0440521,1.92921,0.0920406,0.318561
0.66134,0,3.27138,0.1279,0.0896389,0.0381773,0.448033,0.393572,0,2.27598,0.20195,0.209205
0.7874,0.00191316,2.74628,1.04313,0.0809961,0.000691927,0.376126,0.45733,0,2.25956,0.156111,0
0.949005,0.12316,1.75666,1.98775,0.0113281,0,0.236795,0.491177,0,2.09795,0.388451,0.214504
