-37.8005,-0.37115,0.0245263,0.333396,0.542704,-0.15193,0.551142,-0.133468,0.31131,-0.470462,-0.186815,0.429161,-0.00648249,0.207287,-0.146912,0.0177769,-0.0056319,0.00994209,0.157861,-0.117389
-21.7611,1.97001,0.0786041,0.991357,0.574864,0.102183,0.209998,0.170683,0.11465,0.181152,0.13876,-0.192903,-0.119995,0.385744,-0.0939483,0.0431987,0.116319,0.165308,0.0539794,-0.117561
-18.5219,0.806145,0.367662,1.16762,0.489256,0.28287,0.0845022,0.143822,0.21899,0.312418,0.355744,-0.0673657,0.052957,0.281489,0.175906,-0.238376,-0.0337669,0.262292,-0.147745,0.260517
-19.4455,0.343536,0.0607043,1.34153,0.514038,0.344939,0.139498,0.106756,0.307663,0.553191,0.554294,0.178365,0.0122128,0.224223,0.326878,-0.381203,-0.0276519,0.227633,-0.20944,0.05061
-19.6858,0.473087,-0.221348,1.16983,0.598042,0.516797,0.468596,0.514255,0.209326,0.615319,0.24045,-0.137041,0.0175858,0.44983,0.127496,-0.461891,-0.0806692,0.163871,-0.03466,0.0200685
-19.7161,0.433733,-0.0774842,1.28105,0.518778,0.397145,0.140981,0.539895,0.618449,0.539647,0.239977,0.0331084,-0.0988639,0.399459,0.415964,-0.404215,0.338948,0.23287,-0.30071,0.024771
-19.7251,0.18231,-0.171301,1.48621,0.721126,0.593851,0.430778,0.479827,0.490692,0.286686,-0.311762,-0.0491259,0.0934851,0.565677,0.459794,-0.306754,0.372087,0.0990352,-0.338452,-0.118945
-19.6364,-0.0168682,-0.369734,1.08669,0.800767,0.623061,0.367488,0.461487,0.507438,0.48262,0.234431,0.183803,0.172773,0.304714,0.267281,-0.400828,0.230427,0.190572,-0.358066,0.0583284
-19.3612,0.434714,-0.18355,0.72849,0.465486,0.455602,0.140562,-0.220706,0.240816,0.322925,0.157249,0.296996,0.256321,0.512747,0.459284,-0.401426,0.227314,0.187818,-0.386076,0.0762884
-20.3093,0.235971,-0.156002,1.15897,0.56804,0.225909,0.114955,-0.225054,0.385596,0.410165,-0.0964916,-0.104091,-0.198452,0.561224,0.741227,-0.276257,0.422526,0.312896,-0.0255224,0.0665115
-14.0733,1.70626,0.328688,0.277264,-0.778133,0.179868,0.160685,-0.0739765,-0.250093,-0.401168,-0.504488,-0.0110142,0.25369,0.00579809,-0.396943,0.103197,0.357373,-0.125189,-0.234685,0.476931
-9.40503,1.67168,0.208387,0.885122,-0.0687765,0.323425,-0.0599195,0.187511,0.108931,0.000646116,-0.159459,-0.116016,-0.0254884,-0.0170438,-0.0910899,-0.109071,-0.0203985,0.075874,0.0402442,0.236505
-8.11076,1.84827,0.395826,1.11039,0.231798,0.526397,-0.183754,0.0336189,0.0657808,0.264362,0.116758,0.0396191,0.315779,0.138078,-0.193999,-0.273989,-0.182003,0.126366,0.105824,0.176821
-7.7776,2.06647,0.586115,1.40253,0.482649,0.533239,-0.305345,0.115658,0.301939,0.475654,0.406312,0.239616,0.544144,0.238211,-0.3077,-0.397469,-0.243852,0.050309,-0.0562569,-0.0416778
-6.80037,1.80317,-0.287999,1.24657,0.379057,0.493175,-0.170665,-0.0595005,0.204152,0.969508,1.0954,0.29618,-0.144502,-0.104071,0.147431,-0.199241,-0.752863,-0.219229,0.347343,0.0349607
-6.67577,1.46671,0.0294617,1.43941,0.586949,0.516614,-0.396616,-0.300135,0.132995,0.991418,0.981428,0.408205,-0.277956,-0.34637,0.0999465,-0.0509647,-0.769109,-0.286073,0.197532,0.0417893
-7.02514,1.31194,0.0311583,1.44032,0.352352,0.619801,-0.218583,-0.447508,-0.120221,1.08753,1.2234,0.574785,-0.193718,-0.323765,0.0373799,-0.189008,-0.912835,-0.316074,0.421079,0.158061
-7.28561,1.52094,0.187284,1.13938,0.338536,0.397956,-0.31415,-0.370433,-0.174672,1.03574,1.19345,0.116337,-0.328716,-0.371422,0.372431,0.107014,-0.913836,-0.352154,0.294106,0.327404
-7.47169,1.52907,0.328076,1.15381,0.541383,0.335786,-0.407022,-0.486191,-0.155654,0.983859,1.07144,0.245338,-0.41103,-0.21875,0.197838,0.0824113,-0.815803,-0.377412,0.20963,0.353494
-7.7224,1.47699,0.268423,1.17953,0.211816,0.220193,0.0160451,-0.358015,-0.294902,0.866476,1.02741,0.305126,-0.359226,-0.190088,0.400839,0.0497663,-1.0436,-0.557845,0.459763,0.270767
-7.78112,1.23919,0.253736,1.12111,0.338367,0.360266,-0.097825,-0.133593,-0.325521,0.592193,0.934627,0.286031,-0.342707,-0.317194,0.308524,0.0798572,-1.03043,-0.372157,0.456793,0.0876586
-8.43409,1.56854,0.405012,1.06687,0.450097,0.0449321,-0.267857,0.0383349,0.0599644,0.347383,0.83143,0.275509,-0.221837,-0.169475,0.0734141,-0.0771883,-0.568157,-0.376596,0.110483,-0.0368292
-8.59748,1.70344,0.547187,1.12946,0.352838,0.108003,-0.317573,-0.176592,-0.145417,0.392496,0.923854,0.830959,-0.340036,-0.197365,-0.0216809,-0.394767,-0.49305,-0.289329,0.335454,0.0788691
-8.45899,1.70515,0.362864,1.02934,0.334931,0.28748,-0.310915,-0.188998,-0.327073,0.536894,0.988163,0.535948,-0.35048,-0.245204,0.173418,-0.0575934,-0.922127,-0.216766,0.337871,0.0447218
-8.62149,1.94898,0.198538,0.749676,0.494114,0.467365,-0.117536,-0.555609,-0.307161,0.905957,1.01701,0.293463,-0.285014,-0.19319,0.208384,-0.133935,-0.838803,-0.297375,0.363538,0.211438
-8.93009,1.98553,0.228493,1.02555,0.274554,0.53524,-0.069777,-0.373012,-0.509567,0.861541,1.27104,0.36761,-0.298999,-0.143716,0.325045,-0.306093,-1.0273,-0.332712,0.539264,0.251704
-8.96575,2.08694,0.27686,1.28433,0.288396,0.134067,-0.187539,-0.353505,-0.171091,0.837306,1.08459,0.581223,-0.22221,-0.364049,-0.0347561,-0.338009,-0.782811,-0.111765,0.512326,0.163957
-8.72477,1.71933,0.151889,1.40001,0.41857,0.329493,-0.151616,-0.238411,-0.0715867,0.560517,1.13025,0.503026,-0.212682,-0.238661,0.26449,-0.0546741,-0.956895,-0.350828,0.406211,0.22369
-8.99377,1.94861,0.432519,1.27731,0.238911,0.346404,-0.143684,-0.317511,-0.0940398,0.812358,1.0454,0.414635,-0.113746,-0.313944,0.229502,-0.21442,-0.836862,-0.247285,0.5263,0.162219
-9.43169,2.02693,0.320014,1.07504,0.597142,0.695018,-0.114769,-0.680757,-0.332899,0.886492,1.30036,0.176006,-0.206041,-0.24793,0.259512,-0.083629,-0.842592,-0.341693,0.463148,0.313482
-9.53694,1.93425,0.0739274,1.19953,0.614786,0.63788,-0.197753,-0.59145,-0.000329933,1.03536,1.30721,0.362326,-0.268754,-0.308679,0.121801,-0.0105819,-0.753004,-0.201006,0.344339,0.129549
