0.000558474,0.000825462,0.000375499,0.000204861,0.000270255,0.000419968,0.000408619,0.000298823,0.000342418,0.000453401,0.000653739,0.000773541,0.000573807,0.000308632,0.000242274,0.000275549,0.000405495,0.00036771,0.000303118,0.000227523,0.000298521,0.000669351,0.00110394,0.000613043,0.000241586,0.000288697,0.000263377,0.000286043,0.000500244,0.000446026,0.000309377,0.000457912,0.000426288,0.000656237,0.000767751,0.000208794,0.000235867,0.000348975,0.000386485,0.000357323,0.000226408,0.000314463,0.000591516,0.000858481,0.00117142,0.000654309,0.000206313,0.000302899,0.000316742,0.000299184,0.000342091,0.000512192,0.000604993,0.000613887,0.000602746,0.000456832,0.000287927,0.000195052,0.000286082,0.000301038,0.000337215,0.000261407,0.000205331,0.000319495,0.00054039,0.00067413,0.000357895,0.000172081,0.000172922,0.000204295,0.000305037,0.000285442,0.000329818,0.000347102,0.000342721,0.00055763,0.000952067,0.00129126,0.00122892,0.000455216,0.000186847
0.000663678,0.00090874,0.000463934,0.000258555,0.000350965,0.000791536,0.000676319,0.000450483,0.000413219,0.000662107,0.000888517,0.00106524,0.00072622,0.000344058,0.00025297,0.00031301,0.000503982,0.000470699,0.000355538,0.000255222,0.000371424,0.000790078,0.00117017,0.000676881,0.000264653,0.000314406,0.000325024,0.000328145,0.000511626,0.000454692,0.000349607,0.000513008,0.000579319,0.000750403,0.000848846,0.000271448,0.000267026,0.00037125,0.000425031,0.000397798,0.00023748,0.00032257,0.000627465,0.000930685,0.00123722,0.000669858,0.000215409,0.000317001,0.000333466,0.000316961,0.00035713,0.00052735,0.00064437,0.000684393,0.000667952,0.000501558,0.000312925,0.000232315,0.000332825,0.00033056,0.000346824,0.000293444,0.000264467,0.000442348,0.000672604,0.000798927,0.000370832,0.000178749,0.000190577,0.00021628,0.000335725,0.000298,0.000336227,0.000354141,0.000373083,0.000630039,0.00104539,0.00135092,0.00124939,0.000484213,0.000229598
0.00286604,0.00547446,0.00149533,0.000364318,0.000358693,0.000799948,0.000726769,0.000544845,0.000433241,0.000738639,0.000915371,0.00116871,0.000830043,0.000925963,0.000343538,0.0003311,0.000748346,0.00105491,0.000683827,0.000331875,0.000421405,0.000801442,0.00133103,0.00104128,0.000278467,0.000338289,0.000776339,0.00144644,0.000798016,0.000573065,0.000392965,0.000521397,0.000597052,0.000840965,0.000966783,0.000366778,0.000396936,0.000478926,0.000604113,0.000700691,0.000431764,0.000404898,0.000670736,0.00094197,0.00149863,0.000931079,0.000270281,0.000407411,0.000480039,0.000442095,0.000471931,0.000615223,0.000784328,0.000889165,0.000967369,0.000783882,0.000562134,0.000316631,0.000452682,0.000783849,0.000622745,0.000346374,0.000313674,0.00069747,0.000826016,0.000837736,0.000494321,0.000523742,0.000463204,0.00028387,0.000766857,0.00133155,0.00108695,0.000538874,0.000519878,0.00076137,0.00108215,0.00138879,0.00127455,0.000542324,0.000285014
0.00672422,0.00818068,0.0123488,0.0115319,0.000359322,0.00080034,0.000729665,0.000547469,0.000705712,0.00131279,0.00117719,0.00406907,0.0092811,0.00704365,0.000818851,0.00288999,0.004424,0.0018799,0.00145761,0.000586353,0.000507784,0.000839012,0.00138321,0.00104128,0.00611009,0.00572387,0.000781448,0.00144644,0.000801995,0.000651954,0.000699121,0.00170703,0.00219836,0.00326804,0.00478599,0.00289733,0.000400124,0.000489427,0.00061174,0.000712872,0.000521197,0.000956833,0.00135156,0.000943162,0.00381418,0.00456739,0.000356604,0.000990993,0.00101992,0.000801047,0.000618127,0.000631725,0.000824175,0.00144547,0.0028438,0.00248819,0.000624743,0.000474495,0.000552929,0.000943093,0.00439001,0.000432444,0.000339112,0.000770666,0.000901957,0.000890794,0.000586039,0.000555248,0.000580351,0.00119071,0.00265686,0.00152615,0.00116187,0.000672792,0.00063866,0.000840811,0.00154952,0.00163168,0.00136265,0.000559147,0.000292067
0.00772907,0.0302033,0.0327392,0.0139314,0.000359322,0.00084666,0.00301656,0.00313964,0.00949816,0.00658876,0.00705297,0.00995622,0.00928736,0.00704365,0.000818851,0.00288999,0.0044468,0.00235052,0.00176646,0.000586353,0.00188533,0.0196259,0.0200798,0.0103285,0.0163801,0.00901919,0.00181215,0.00269709,0.0455094,0.0464148,0.000699121,0.0017073,0.00220207,0.00326804,0.00478599,0.00289733,0.000400124,0.0011935,0.00131718,0.000714451,0.000521197,0.000956833,0.0020099,0.0552527,0.0936422,0.0404109,0.000356604,0.000990993,0.00102247,0.000960439,0.0228716,0.02268,0.000824175,0.00144547,0.0028438,0.00248819,0.000624743,0.000474495,0.000552929,0.000943093,0.00447021,0.000485078,0.000339112,0.0627766,0.127004,0.0856876,0.0346552,0.0140391,0.000580351,0.0014794,0.0124682,0.015973,0.00116187,0.000672792,0.00063866,0.000840811,0.00154952,0.00163168,0.00136265,0.000559147,0.000692371
0.0377637,0.194512,0.181828,0.0254578,0.000420766,0.00110763,0.00331291,0.00343986,0.00985181,0.0189109,0.0192035,0.0112411,0.0106751,0.00709845,0.000818851,0.00288999,0.0586096,0.0552099,0.00250978,0.00103949,0.00490672,0.0406607,0.0469067,0.0336905,0.0486547,0.0141999,0.00181215,0.00628642,0.0533798,0.0515336,0.00304064,0.00274489,0.0149907,0.0149052,0.00479034,0.0069323,0.0122125,0.0145986,0.00210134,0.00343612,0.000968488,0.000968892,0.00480685,0.103258,0.172531,0.0472908,0.000642233,0.00130942,0.00354269,0.00368965,0.0231178,0.0227302,0.00539957,0.00396546,0.00565816,0.0143445,0.00163201,0.000474495,0.00111691,0.0172099,0.00704207,0.000771245,0.00154253,0.0763384,0.154788,0.113789,0.0788865,0.0304817,0.000922477,0.00187456,0.0168742,0.0172597,0.00300148,0.000672792,0.00169,0.00398005,0.00179606,0.00336281,0.00325775,0.00704036,0.00100063
0.067137,0.351542,0.225546,0.0311943,0.000420766,0.00110763,0.0209364,0.0317892,0.0124115,0.0189109,0.0217828,0.0413846,0.0167499,0.00867151,0.00447353,0.00305539,0.0604002,0.0554083,0.00403618,0.00119931,0.00957222,0.0957954,0.0934678,0.0406304,0.0486547,0.0146249,0.00231313,0.0116919,0.100295,0.098103,0.0077118,0.00961677,0.0154121,0.0195842,0.00559738,0.0077667,0.012409,0.015063,0.00991876,0.011733,0.000968488,0.00480339,0.0146629,0.124416,0.1855,0.0472908,0.000642233,0.00170563,0.00795739,0.0186221,0.037423,0.0358338,0.00539957,0.00501904,0.00612273,0.0148229,0.00213882,0.00360708,0.0435213,0.0580278,0.0143233,0.00204336,0.00154253,0.0785482,0.154788,0.116363,0.108947,0.0357541,0.000922477,0.00193104,0.0268798,0.0639808,0.00692127,0.00110074,0.00210994,0.00418163,0.00183129,0.00548883,0.0234931,0.0198104,0.00100063
0.2193,0.382279,0.231721,0.0311943,0.000420766,0.00349359,0.0243487,0.0327042,0.0124115,0.0189109,0.0219116,0.0526687,0.02594,0.00867151,0.00447353,0.00305539,0.0622934,0.0575441,0.00434754,0.00119931,0.0199241,0.153972,0.153497,0.0569947,0.0516499,0.0156235,0.0122495,0.0215699,0.10142,0.098103,0.0077118,0.0104985,0.0201941,0.0289203,0.0109117,0.0077667,0.012409,0.015063,0.0111673,0.0118508,0.000968488,0.00480339,0.0226865,0.188159,0.23495,0.0520321,0.000642233,0.00260858,0.0117588,0.0189281,0.037423,0.0360649,0.00748429,0.00586759,0.0234034,0.0174085,0.00213882,0.00360708,0.0435213,0.0582071,0.0162641,0.00225834,0.00154253,0.0841633,0.215398,0.181296,0.133444,0.0378223,0.000922477,0.00212814,0.0273784,0.0639808,0.00692127,0.00122465,0.00267999,0.0172776,0.0389471,0.00915884,0.0234931,0.0198104,0.00127264
0.256516,0.396912,0.236251,0.0368768,0.00402835,0.00349359,0.0244563,0.0434965,0.0400105,0.0363664,0.0224047,0.0534403,0.0269044,0.00883524,0.00584272,0.00648614,0.0670134,0.0604959,0.00487523,0.00119931,0.0343065,0.213358,0.20941,0.0596717,0.0516499,0.0156235,0.0123998,0.0216025,0.10142,0.098103,0.0077118,0.0109096,0.0218388,0.0303039,0.0124941,0.0077667,0.0144312,0.022489,0.0181202,0.01254,0.000968488,0.0182502,0.079766,0.254844,0.250445,0.0520321,0.000642233,0.00260858,0.0144353,0.0213556,0.037423,0.0360649,0.00748429,0.007344,0.0264975,0.0179636,0.00262692,0.00360708,0.0475597,0.0695826,0.0238077,0.00235709,0.00154253,0.11109,0.285709,0.238542,0.141427,0.0378223,0.00230809,0.00566317,0.0304873,0.0639808,0.00692127,0.00122465,0.00375679,0.018805,0.0396292,0.009691,0.0238164,0.0198104,0.00354655
0.349844,0.444122,0.250268,0.0501136,0.00667214,0.00337829,0.0243284,0.0436175,0.0453327,0.0573417,0.0367809,0.0564223,0.0333621,0.0598007,0.041737,0.00894751,0.0672661,0.0607327,0.00535693,0.00210235,0.0431478,0.230857,0.273291,0.11014,0.0709294,0.0195394,0.0134171,0.0242241,0.104235,0.135673,0.0806921,0.0433692,0.0217665,0.0302975,0.0125844,0.00779774,0.0189513,0.03515,0.0259999,0.0133286,0.000966406,0.0202403,0.105237,0.315146,0.294413,0.0600012,0.000904678,0.00333826,0.014674,0.0215839,0.0420666,0.0578999,0.0310581,0.00726215,0.0263926,0.0308963,0.0333074,0.0213343,0.0572091,0.0753037,0.0248485,0.00252527,0.00325641,0.115282,0.343877,0.301159,0.155772,0.0387582,0.0024538,0.0059231,0.0318451,0.0687535,0.0221145,0.0215369,0.0104836,0.0185172,0.0388947,0.00864646,0.0309015,0.0289932,0.00904983
