2091.4,1742.92,1946.89,3516.29,5607.23,6360.38,5064.6,2880.88,1241.63,669.314,1014.24,1563.28,2590.62,4680.41,5880.66,4647.77,2642.06,1554.8,1434.88,1927.84,2623.22,2723.76,1565.43,101.091,1093.36,4226.96,4974.11,3682.38,5580.17,11287.8,15847.8,14606.9,8678.69,3181.64,1091.17,1432.49,1750.4,1150.73,311.075,103.764,900.228,2390.83,3725.1,4316.79,4808.6,6073.19,7400.22,6532.7,3439.98,1210.89,692.153,421.995,393.67,952.524,1766.63,2579.8,3150.9,3284.11,2872.2,2173.95,2383.12,4051.18,4886.76,3051.85,970.33,1541.91,3631.99,4574.45,4326.28,4586.06,7880.58,14278.7,17036.1,12195.9,5434.57,2006.75,1330.09,1567.15,1870.72,1364.52,298.38,685.371,3067.85,4925.55,4739.52,4633.85,5848.95,6478.29,5125.91,2709.22,854.44,94.9602,58.1001,249.94,375.175,665.388,1500.98,2879.97,4055.74,4194.61,3808.2,4005.83,4712.09,4683.49,3102.77,852.367,369.581,2859.41,4933.1,3610.99,1804.45,2491.24,4775.49,6990.77,8115.29,7417.67,5014.08,2569,2301.49,3699.23,3238.42,954.281,504.394,2440.81,4853.77,6019.14,5496.5,4615.3,4279.77,4021.79,3024.24,1485.26,446.69,199.796,194.029,71.6809,161.171,938.187,2705.25,5180.32,6736.4,6004.74,4160.31,3822.72,4916.85,4318.88,1772.87,582.378,1677.53,2823.67,2659.37,1879.71,1521.1,2613.43,6019.61,10240.4,11023.3,7238.87,3422.43,2151.75,2058.34,1992.01,1204.32,330.115,1032.66,2770.61,3336.06,2469.17,1939.47,2283.11,2585.16,2386.34,1848.41,1210.96,662.101,285.926,155.903,251.909,530.168,1762.38,4256.48
3080.38,1996.74,2029.79,4269.79,7101.93,8056.83,6160.77,3194.83,1225.87,519.395,1042.77,1635.01,2623.62,5847.91,8008.54,6165.12,3174.67,1823.01,1757.77,2500.44,3592.22,3687.87,2172.7,177.003,1552.84,6235.23,6242.42,3196.46,5950.34,13697.4,21021.7,19823.8,11077.5,3713.23,829.274,1809.33,2988.47,2105.79,640.96,305.396,1317.05,3280.32,4737.47,4936.31,5350.36,6869.45,9153.46,8536.71,4085.73,1027.03,757.953,389.341,332.529,1094.99,2146.28,3436.89,4434.75,4593.19,3777.03,2402.14,2359.23,5079.94,6601.98,3722.89,676.711,1542.61,4452.41,5338.64,4540.92,4748.96,8477.28,19171,26246.8,18130.2,6542.76,2089.74,1442.52,1732.23,2459.84,1834.41,239.685,717.591,4062.82,6391.6,5201.03,4821.51,6890.5,8044.94,6505.19,3373.84,989.9,93.3293,53.1791,334.49,420.13,751.385,2142.38,4293.78,5699.81,5198.91,4225.17,4464.05,5526.62,5831.88,3884.38,982.494,235.924,3920.85,7248.88,4541.34,1447.63,2896.07,6232.28,10023.5,12191.6,10390.2,6363.76,2679.5,2084.88,4898.87,4543.11,911.609,423.618,2818.3,5987.42,7481.09,6278.34,5215.24,4965.01,5078.55,4277.87,2114.55,448.022,196.544,288.58,52.2657,167.017,1094.73,3313.04,6641.23,8588.18,7208.46,4343.24,3786.06,6017.49,5702.98,1958.78,328.39,2009.38,3640.61,3311.11,2089.4,1600.01,2878.44,8223.68,16070.8,16836,9031.64,3462.37,2281.71,2119.02,2397.86,1465.87,167.203,1138.21,3657.23,4412.71,2749.41,2010.12,2859.37,3468.5,3297.92,2531.8,1535.74,764.178,301.772,109.461,269.531,454.881,1985.19,5547.63
3978.77,1859,1837.79,4433.37,7747.47,8835.76,6365.44,3160.3,986.134,340.6,936.091,1529.06,2183.04,6480.55,9179.24,7253.48,3140.55,1854.95,1823.75,2681.92,4368.05,4144.15,2641.22,533.75,2285.07,7911.11,7088.11,2027.38,5856.94,13902.1,24141.4,23568.2,11737.6,4082.53,391.146,2170.94,4231.59,3209.21,1180.89,608.905,1543.21,3971.93,5235.74,4660.72,5265.4,6405.64,9979.15,9500.6,4399.75,649.222,809.446,300.445,285.175,1028.98,2306.25,3848.98,5294.09,5529.42,4158.87,2344.62,1859.78,5629.74,7801.43,3947.52,402.724,1432.29,4813.15,5302.9,4105.78,4142.52,7793.43,21629.7,35606.1,23260.2,6503.23,1954.88,1264.31,1674.32,2716.67,2280.39,239.058,787.04,4666.32,7367.31,4752.23,4304.75,6958.54,8560.68,7207.47,3561.92,1081.69,81.8037,43.2448,422.726,414.686,695.077,2756.8,5270.5,6947.08,5513.2,3909.11,4336.96,5421.05,6427.99,4131.58,1133.84,267.043,4925.7,9122.04,5236.04,770.178,3181.19,6730.82,12090.4,16043.9,12019,6980.13,2518.86,1535.36,5738.98,5595.13,980.341,462.447,2738.14,6421.75,8193.94,5900.95,5226.79,4735.96,5604.24,5127.74,2638.06,445.309,172.616,427.63,33.5782,167.342,1120.03,3542.67,7254.08,9558.64,7350.79,3946.31,3050.03,6461.29,6647.58,1965.62,109.562,2183.17,4074.81,3490.02,2053.99,1351.28,2798.69,9261.48,21980,22390.1,9357.96,3065.34,2004.62,1893.87,2434.1,1690.96,42.5744,1196.14,4116.72,5190.61,2577.47,1760.07,3101.3,3888.36,3977.04,2875.3,1708.9,746.092,285.574,43.0097,303.908,263.448,2105.18,6169.71
4476.61,1460.1,1422.67,4008.17,7224.22,8574.85,5485.82,2883.36,581.678,220.289,767.477,1338,1516.29,6418.57,8847.53,7729.7,2527.5,1693.78,1571.89,2471.55,4696.72,3927.52,2807.24,1135.62,3177.05,8799.84,7152.49,851.738,5455.34,11721.4,24277.1,25064.9,10127.9,4362,70.0336,2450.09,5059.12,4227.73,1822.16,932.566,1493.2,4243.05,5139.79,3542.24,4657.25,4802.4,9745.75,9009.11,4296.89,308.112,889.278,241.066,292.183,742.256,2278.86,3561.61,5543.75,5730.08,3892.39,2026.23,1139.25,5524.27,8145.94,3689.86,254.678,1249.64,4772.24,4272.59,3400.53,2779.17,6405.13,20344.9,43699.9,26125.9,5302.39,1641.49,927.305,1329.02,2640.85,2598.42,326.808,841.514,4791.32,7460.37,3678.12,3235.37,6108.57,7734.5,7128.86,3129.92,1137.41,77.3957,22.0761,521.648,413.664,582.222,3249.04,5293.78,7558.39,4996.94,3044.04,3611.98,4508.9,6240.07,3783.79,1239.84,539.737,5620.79,10068,5411.48,214.496,3328.23,6116.96,12377.8,19038.9,11399.9,6839.82,2166.68,1029.57,5848.29,6163.28,1243.74,641.002,2241.53,6009.53,8036.74,4452.25,4715.93,3629.31,5502.08,5263.21,2846.27,536.493,197.852,630.04,42.4837,133.253,1066.07,3258.79,6846.33,9343.96,6357.47,3132.13,1943.8,6099.84,6890.26,1851.73,31.8021,2094.57,4129.92,2987.18,1912.16,789.041,2584.69,8455.83,26959.7,26433.4,7924.76,2472.51,1402.1,1446.93,2129.88,1841.47,50.0031,1143.18,4081.15,5355.02,2119.85,1268,2983.33,3618.16,4270.59,2745.18,1649.9,661.948,222.635,12.6269,390.993,56.9569,2237.56,5739.06
4409.81,988.668,943.734,3148.71,5726.01,7381.5,3865.84,2436.3,210.623,183.371,691.586,1159.58,1006.44,5656.08,7137.03,7483.59,1648.57,1412.74,1113.32,1985.05,4486.91,3108.9,2626.45,1810.05,3879.21,8729.92,6324.91,257.403,4858.85,8099.39,21568.1,24336.9,6775.5,4563.67,120.959,2440.83,5341.93,4772.28,2369.77,1211.17,1146.73,4089.34,4477.69,2081.46,3690.03,2749.48,8549.83,7266.99,3760.33,244.616,1007.19,337.068,349.291,375.109,2080.51,2685.12,5124.94,5139.22,3071.66,1566.84,512.984,4784.92,7590.7,3030.53,249.858,1161.16,4217.76,2793.15,2524.73,1269.83,4858.65,15815.9,49176.6,26265.4,3431.34,1226.1,647.618,778.682,2349.16,2661.6,489.703,856.645,4390.32,6669.48,2398.41,2009.52,4648.7,5863.82,6315.58,2259.74,1118.21,121.448,3.96038,655.503,485.93,582.774,3471.41,4336.71,7382.19,3913.59,1992.52,2511.51,3187.93,5296.94,2987.64,1229.08,1004.07,5765.51,9813.97,5040.54,63.0319,3257.9,4813.28,10765.3,20825,8593.71,6208.14,1778.98,722.841,5277.57,6046.62,1631.85,925.43,1488.91,5004.65,7060.15,2571.93,3801.83,2135.73,4814.75,4660.23,2637.62,755.589,351.885,894.194,112.938,69.7331,984.349,2539.73,5590.77,8047.31,4570.71,2193.36,907.538,5045.53,6383.94,1685.53,76.4879,1851.02,3714.2,2098.18,1610.72,250.433,2308.87,6129.21,30087.9,28273.7,5254.87,1852.89,793.157,868.546,1693.51,1840.33,190.201,1016.15,3531.32,4890.34,1562.28,750.423,2551.3,2759.61,4098.21,2215.22,1373.94,579.295,145.092,81.3487,548.774,21.5987,2366.51,4413.19
3859.02,599.673,547.418,2157.02,3802.13,5602.58,2169.24,1836.12,61.2439,241.465,850.682,1062.72,879.579,4438.34,4628.72,6686.44,891.952,1117.5,637.563,1383.6,3870.77,1962.24,2182.19,2262.2,4198.34,7547.4,5075.14,281.281,4162.92,4544.38,17292.6,22134.3,3129.77,4546.05,507.908,2233.06,4884.72,4732.88,2591.8,1355.77,645.711,3643.96,3447.15,877.068,2587.17,1011.66,6893.11,4798.26,2988.27,486.012,1129.58,679.395,456.442,122.856,1697.07,1633.78,4112.42,4055.82,1967.46,1118.24,187.023,3663.15,6305.11,2225.38,304.621,1154.85,3383.87,1371.78,1618.95,305.586,3452.25,10078,51347.8,24356.9,1652.65,883.383,461.493,317.748,1889.86,2512.18,620.345,818.029,3535.48,5334.07,1295.55,996.345,3102.33,3569.66,5062.25,1294.08,969.722,235.413,17.5033,876.188,681.891,801.949,3299.94,2815.89,6501.01,2749.6,1145.26,1384.22,1887.32,3943.41,1978.48,1092.27,1442.7,5353.52,8322.84,4376.48,279.152,2934.94,3458.74,8055.74,21375.8,4806.96,5308.76,1547.38,621.279,4237.81,5294.06,1956.94,1176.25,774.758,3811.78,5588.66,1012.17,2661.39,852.934,3843.83,3478.26,2148.86,1011.06,616.641,1228.59,274.624,8.20072,900.617,1642.74,3868.3,6180.22,2569.27,1399.88,292.615,3612.99,5293.22,1525.59,169.033,1507.84,3032.58,1111.72,1225.29,10.2257,1952.37,3349.43,31011.1,27987.2,2467.62,1323.28,399.784,407.16,1211.25,1750.39,363.161,840.277,2620.56,4002.25,1063.13,388.097,1976.41,1597.54,3606.47,1455.15,994.446,535.798,93.4422,296.772,814.13,264.073,2353.55,2765.24
3030.75,359.178,338.806,1298.2,2072.28,3795.12,883.255,1182.2,178.656,384.911,1286.67,1115.74,1027.66,3128.58,2190.59,5599.66,590.37,836.616,314.765,899.077,2972.89,944.337,1608.98,2286.73,3956.81,5654.81,3738.24,682.451,3429.41,2216.95,13369,19624.9,681.581,4176.91,983.609,1941.9,3781.4,4169.95,2363.25,1341.13,211.215,3012.56,2457.05,230.59,1566.62,139.128,5236.05,2434.41,2188.38,831.209,1236.54,1252.7,617.826,114.945,1182.87,766.442,2861.86,2841.62,977.973,780.162,138.009,2530.02,4650.43,1478.39,341.623,1168.39,2488.31,379.44,951.466,67.9993,2284.1,5529.79,50475.6,21836.4,543.064,746.323,341.726,84.0538,1498.33,2130.23,656.244,678.928,2515.89,3809.48,625.444,422.383,1837.38,1604.91,3767.29,518.509,715.448,377.425,103.783,1220.7,1027.25,1142.16,2777.71,1299.14,5269.49,1951.59,662.138,589.219,928.027,2527.12,1111.29,819.553,1680.05,4374.43,6204.85,3465.6,725.02,2377.65,2505.51,5687.38,20915.1,1778.71,4266.99,1478.8,713.572,2932.89,4196.75,1995.07,1304.45,287.085,2800.91,4131.58,161.081,1564.71,174.157,2898.72,2158.43,1559.65,1181.86,891.385,1602.49,549.954,20.5125,770.928,864.887,2191.57,4285.74,999.68,858.823,139.741,2257.65,3884.95,1381.21,211.757,1183.71,2235.37,350.844,919.826,76.1475,1495.83,1263.23,30140.6,26307.3,612.832,980.752,226.383,197.65,875.902,1546.33,468.549,630.893,1655.3,2909.93,768.152,242.632,1390.1,584.066,2979.54,739.689,634.664,500.015,130.896,672.43,1181.89,724.279,2113.74,1338.01
2170.6,257.914,310.921,688.814,993.745,2390.16,188.082,615.23,447.05,635.511,1868.73,1298.76,1208.32,1959.73,603.216,4461.03,817.993,588.592,185.721,658.134,2010.64,333.596,1058.03,1888.54,3199.55,3623.09,2538.99,1093.18,2728.83,1416.46,11358,17717.6,176.658,3553.86,1239.44,1605.09,2424.42,3256.4,1775.25,1168.98,11.2913,2331.82,1782.45,111.863,798.395,154.86,3904.52,874.341,1450.08,1061.24,1299.14,1885.64,875.945,336.718,666.128,238.788,1788.05,1836.64,341.905,600.631,216.702,1622.23,3035.45,933.497,294.444,1089.36,1686.14,30.3592,577.279,272.966,1397.36,3651.15,47483.8,20141.2,215.806,771.273,320.458,91.0646,1226.45,1630.48,562.381,459.72,1562.63,2459.58,398.413,230.551,999.847,517.418,2683.04,100.45,436.998,476.715,309.594,1653.39,1447.72,1424.16,2043.18,315.707,4005.77,1782.06,495.657,211.579,431.963,1377.43,546.481,475.096,1628.03,3051.13,4111.74,2409.13,1184.14,1668.18,2070.84,5019.31,19571.1,814.253,3303,1362.19,857.605,1691.32,3044.32,1652.41,1253.92,120.51,2136.19,3015.24,29.7882,733.471,92.4043,2252.5,1130.39,1014.81,1199.49,1068.16,1907.79,939.471,167.839,567.422,355.782,1018.98,2735.03,179.07,574.589,252.625,1249.75,2502.4,1218.12,163.815,899.614,1492.71,37.7883,703.039,315.259,1002.09,481.734,28345.1,24266.9,71.4314,816.679,236.11,203.199,724.839,1267.27,442.278,417.423,857.747,1895.78,667.56,233.031,901.355,68.8361,2344.77,333.759,371.247,423.348,308.034,1164.15,1558.27,1208.41,1688.39,454.096
1490.16,220.472,338.919,378.605,640.629,1476.06,1.18958,272.044,611.569,1049.15,2452.7,1393.5,1265.15,1026.8,41.7172,3591.6,1333.15,361.842,196.549,574.261,1265.63,110.606,621.721,1295.97,2157.62,1957.4,1639.97,1150.77,2109.12,1842.64,11359.8,16643.1,1476.78,2831.18,1089.66,1270.19,1218.83,2306.78,1053.39,871.938,44.6133,1813.1,1384.14,249.209,349.685,601.927,3147.78,237.502,807.028,1111.76,1189.27,2400.71,1329.43,590.765,310.65,21.7606,1017.65,1305.68,135.637,474.518,287.312,963.859,1757.59,641.96,165.719,806.696,1202.64,138.057,320.438,601.984,737.386,3946.4,44358.9,19479.7,350.672,894.551,360.26,193.964,1171.18,1019.35,444.394,235.104,747.039,1569.83,374.5,233.59,538.856,307.822,1929.4,41.7326,220.813,445.852,641.108,2152.46,1733.61,1501.89,1275.86,17.4091,3035.3,2127.95,433.928,136.189,306.475,651.542,224.023,193.554,1345.14,1691.91,2541.99,1391.96,1418.97,1012.33,2038.38,6113.09,17785.9,1971.55,2513.75,1062.54,878.982,758.257,2115.27,992.834,1048.87,200.244,1813.04,2247.25,294.44,295.347,268.529,2049.9,611.033,618.381,1058.64,1033.01,2035.67,1485.38,429.026,314.826,80.7158,423.081,1799.15,14.3389,396.527,394.845,578.065,1476.97,969.862,41.6536,684.585,924.396,118.383,517.593,539.634,582.714,752.47,26628.3,22723.3,413.216,719.336,404.217,247.909,713.766,938.386,336.682,193.748,330.065,1205.32,596.673,266.73,527.587,68.0919,1865.53,299.799,203.543,292.505,587.719,1711.88,1833.84,1457.21,1192.1,121.664
1115.75,126.656,285.064,280.374,817.334,1011.95,36.6483,136.125,504.949,1767.4,2825.3,1262.77,1096.06,458.072,143.434,3066.9,1852.47,172.548,285.868,456.37,842.321,100.859,387.598,703.092,1217.55,975.823,1050.48,800.228,1533.77,2851.94,12208.7,16051.1,3599.19,2121.18,614.22,974.914,504.459,1544.61,425.224,607.99,159.191,1513.88,1131.1,383.98,153.046,939.549,2902.76,292.372,380.704,919.411,915.842,2613.49,2138.41,675.423,140.442,18.3576,557.512,1257.09,209.101,303.321,258.271,592.216,928.418,427.409,89.7382,458.948,895.784,519.865,172.097,826.683,386.213,4351.33,43465.5,19281.1,488.574,1159.82,299.303,271.045,1333.55,478.499,289.678,103.926,221.506,1125.26,270.182,230.609,320.502,641.559,1538.25,127.202,107.308,264.618,1129.2,2589.9,1727.45,1341.83,672.25,141.445,2450.3,2697.42,346.025,162.874,279.474,310.277,62.9908,79.7772,938.698,692.604,1622.03,625.01,1364.97,556.785,2250.09,7803.1,16040.1,4081.79,1948.32,608.629,714.317,225.845,1477.52,319.668,804.302,315.91,1667.04,1791.52,509.57,151.451,349.88,2263.01,665.457,390.096,751.529,818.11,1931.84,2234.69,727.288,100.458,6.90551,159.23,1463.28,185.053,222.832,423.727,213.552,837.757,607.881,11.4594,511.14,486.135,511.069,488.484,488.002,385.013,1037.87,26176.4,22272.5,697.239,713.94,589.299,185.703,882.979,569.639,187.275,53.6192,79.249,835.669,450.517,277.383,261.003,362.769,1647.17,432.407,121.301,131.166,912.047,2211.08,1901.38,1383.49,719.101,107.648
