"Track URI","Track Name","Album Name","Artist Name(s)","Release Date","Duration (ms)","Popularity","Explicit","Added By","Added At","Genres","Record Label","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4w1tInexl8p2Tc13q2T1NI","Mine","Meet Me Upstrz","Upstrz",2022-12-15,156107,34,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"trap soul","Sevyn Figures Music",0.578,0.525,10,-7.67,0,0.0747,0.117,0,0.107,0.492,141.694,4
"spotify:track:4TeklWa1VJeKwDThRho8vy","Words of Affirmation","Words of Affirmation","Queen Naija",2023-05-19,186095,38,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,NA,"Capitol Records",0.407,0.632,7,-3.884,0,0.0839,0.466,0,0.112,0.327,155.125,3
"spotify:track:2omLNrDBhaCBqscV1yltOB","In The Mood","In The Mood","THEY.;Yung Bleu",2023-03-03,242866,33,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,NA,"Nü Religion Records",0.661,0.718,4,-5.501,0,0.196,0.26,0,0.481,0.401,87.473,4
"spotify:track:777u4gZI5BYcV8GxAH5nCh","Deep","Deep","Summer Walker",2018-05-18,95390,0,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b","LVRN Records",0.544,0.37,3,-9.925,0,0.369,0.628,3.45e-05,0.107,0.279,76.823,1
"spotify:track:3NiL2JcFIncyshy4KOKA73","Go Baby","Heaven","Cleo Sol",2023-09-15,236236,60,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"neo soul,alternative r&b,britse r&b","Forever Living Originals",0.574,0.176,8,-10.924,0,0.213,0.928,0.437,0.119,0.497,78.929,4
"spotify:track:4SPazIWgMqArA81XKxgDZa","All or Nothing (feat. Ella Mai)","After the Butterflies","Queen Naija;Ella Mai",2023-11-17,190498,39,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-12-25 05:13:35,"r&b","Capitol Records",0.676,0.504,5,-6.231,0,0.0412,0.319,2.97e-06,0.102,0.488,93.018,4
"spotify:track:2LkLJhskz3IJZFQHAbmgmt","Woosah","Late Nights: The Album","Jeremih;Juicy J;Twista",2015-12-04,329506,54,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"crunk","Def Jam",0.624,0.322,9,-11.794,0,0.679,0.406,0,0.103,0.341,79.988,5
"spotify:track:4Qj3ElYeTTTbKfbOiUFmX6","On God (Remix) [feat. Nbdy & Journey Montana]","On God (Remix) [feat. Nbdy & Journey Montana]","Lily Massie;Nbdy;Journey Montana",2023-02-24,197142,24,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"dark r&b,trap soul","Moon Garden Records/Team Jon Doe",0.639,0.578,0,-6.679,1,0.0725,0.173,0,0.101,0.428,112.025,4
"spotify:track:33RTe6MAxEno83JSdpObQr","Sex In The Porsche (and PARTYNEXTDOOR)","Sex In The Porsche (and PARTYNEXTDOOR)","Diddy;PARTYNEXTDOOR",2022-12-14,213626,42,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"hiphop,east coast hiphop,dark r&b,r&b,trap soul","Love Records/Motown Records",0.654,0.572,0,-6.691,1,0.043,0.0884,5.29e-06,0.33,0.0503,91.09,4
"spotify:track:5k6QdTlpMYirCQDPLNihq3","Light Show","EXPOSED","K-Major;Jacquees",2023-09-12,141223,19,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b,trap soul","3mg Entertainment Llc",0.615,0.541,0,-8.781,1,0.116,0.183,0,0.119,0.453,144.974,4
"spotify:track:1mh9eHVRdNhzryG43PXdW1","MUTT","MUTT","Leon Thomas",2024-08-09,193333,73,TRUE,"gdmg59uun5noyjwh28hpotmvj",2025-05-17 15:54:44,NA,"EZMNY Records/Motown Records",0.635,0.462,1,-8.092,1,0.12,0.174,2.26e-05,0.0697,0.601,179.949,4
"spotify:track:2Q2VlgK3KJcuZJUCyX5miq","Girls Like You","Girls Like You","Tone Stith",2023-06-30,173223,32,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"trap soul,r&b","RCA Records Label",0.7,0.457,1,-7.402,1,0.351,0.275,2.54e-06,0.0636,0.75,121.712,4
"spotify:track:50kD5xkL0LTkzNNuJS80en","Replace Me - Sped Up","Replace Me - Sped Up","Dylan Wild",2023-05-11,149438,19,FALSE,"gdmg59uun5noyjwh28hpotmvj",2026-01-06 21:40:31,NA,"Dylan Wild",0.505,0.496,4,-6.238,0,0.0902,0.612,2.35e-06,0.107,0.482,133.53,4
"spotify:track:6NCtzHANN8GwvxdrSzJBB9","Wait On It (feat. Bryson Tiller & Chris Brown)","Wait On It (feat. Bryson Tiller & Chris Brown)","Jeremih;Bryson Tiller;Chris Brown",2024-06-28,205400,60,TRUE,"gdmg59uun5noyjwh28hpotmvj",2024-06-28 02:27:55,"trap soul,r&b","PULSE Records",0.621,0.63,8,-5.764,1,0.215,0.0227,2.99e-06,0.111,0.539,82.796,4
"spotify:track:6WzRpISELf3YglGAh7TXcG","Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)","Popular (Music from the HBO Original Series)","The Weeknd;Playboi Carti;Madonna",2023-06-02,215466,83,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"rage rap","XO / Republic Records",0.854,0.674,1,-6.23,1,0.184,0.0517,8.53e-05,0.509,0.848,99.022,4
"spotify:track:5aIVCx5tnk0ntmdiinnYvw","Water","Water","Tyla",2023-07-28,200255,85,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-10-16 17:52:56,"afrobeats","FAX Records/Epic",0.673,0.722,3,-3.495,0,0.0755,0.0856,0,0.137,0.519,117.187,4
"spotify:track:6OKweCIWN81m5Ka4t8cZcM","Secrets (Remix)","Secrets (Remix)","Rayven Justice;03 Greedo",2023-07-10,137141,23,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,NA,"Rayven Justice",0.721,0.523,0,-6.008,0,0.0371,0.212,0,0.111,0.606,105.058,4
"spotify:track:0J1YRLYhTG1MBosjidD7OI","Good Good","Good Good","USHER;Summer Walker;21 Savage",2023-08-04,247100,59,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:55:25,"r&b","mega/gamma.",0.744,0.677,7,-4.819,0,0.108,0.0388,0,0.106,0.57,140.991,4
"spotify:track:3XgGQ1wjo5khvq2UImjyNF","ALL MINE","WASTELAND","Brent Faiyaz",2022-07-08,216062,78,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b","Lost Kids LLC., Marketed by Venice / Stem",0.617,0.378,9,-8.54,1,0.0315,0.428,9.16e-05,0.11,0.22,141.967,4
"spotify:track:0WIv5qV41y6YjjB9V1biuC","Made For Me","Made For Me","Muni Long",2023-09-15,188000,69,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-10-20 04:43:24,NA,"Supergiant Records, LLC / Def Jam Recordings",0.796,0.468,7,-6.375,0,0.0324,0.122,0,0.118,0.0677,119.98,4
"spotify:track:48KXAIruJ07kJVCWOGohMV","P*$$Y Fairy (OTW)","P*$$Y Fairy (OTW)","Jhené Aiko",2020-01-17,181860,62,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b","Def Jam Recordings",0.572,0.519,2,-7.092,0,0.212,0.536,0,0.102,0.35,128.331,4
"spotify:track:0KS2h61pHQ4WmOwruD7uxD","Damage","Damage","H.E.R.",2020-10-21,223414,57,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b","RCA Records Label",0.646,0.696,1,-6.505,1,0.065,0.113,0,0.115,0.18,81.336,4
"spotify:track:6ed3v3zCNedEcqyLvcMXXc","All About You","All About You","Chris Brown",2011-03-22,194426,33,FALSE,"gdmg59uun5noyjwh28hpotmvj",2025-11-13 22:12:00,"r&b","Jive",0.34,0.333,4,-8.635,1,0.0287,0.768,0,0.106,0.454,61.912,5
"spotify:track:2xRGPubKBTHX6iyrpQvtCy","Wet The Bed (feat. Ludacris)","F.A.M.E. (Expanded Edition)","Chris Brown;Ludacris",2011-03-22,266306,68,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b,dirty south rap","Jive",0.58,0.66,6,-7.405,0,0.0429,0.0166,0,0.174,0.411,123.801,4
"spotify:track:7t2bFihaDvhIrd2gn2CWJO","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]","Ty Dolla $ign;The Weeknd;Wiz Khalifa;Mustard",2014-06-10,242983,81,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"trap soul,rap","Atlantic Records",0.805,0.33,1,-8.712,0,0.1,0.22,0,0.105,0.211,121.97,4
"spotify:track:3UlUWPeAP2SBSKzgdKBcFd","S(EX)","S(EX)","Maeta",2023-02-10,225406,27,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"indie r&b","Roc Nation Records, LLC",0.584,0.395,4,-6.631,0,0.0889,0.0751,1.1e-05,0.109,0.0508,119.087,4
"spotify:track:2IIEVKgaBZGN0fPCChBkqg","Temporary","Temporary","Dylan Wild",2020-07-31,238731,39,TRUE,"gdmg59uun5noyjwh28hpotmvj",2026-01-06 21:40:26,NA,"Dylan Wild",0.538,0.802,2,-6.832,1,0.332,0.148,0,0.123,0.491,132.203,4
"spotify:track:2G5zNimfDzfcAtbHtEKzTu","GLU","GLU","USHER",2023-03-17,262711,44,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b","gamma.",0.758,0.552,7,-6.205,0,0.0346,0.0452,2.6e-06,0.0613,0.489,98.976,3
"spotify:track:0WkfQ4SJqsKrixNQNYSMsq","BIRTHDAY DANCE","DISC TWO (SCRATCHED UP)","Josh Levi",2023-05-12,144489,60,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-12-25 07:55:03,NA,"Atlantic Records / Raedio",0.404,0.557,6,-8.204,0,0.154,0.0515,0,0.167,0.135,142.302,3
"spotify:track:1zhMHgotgZXkLCXpqNRnPK","N o C h i l l","PARTYNEXTDOOR 4 (P4)","PARTYNEXTDOOR",2024-04-26,265373,77,TRUE,"gdmg59uun5noyjwh28hpotmvj",2024-08-26 16:32:05,"dark r&b,r&b,trap soul","OVO Sound",0.575,0.411,2,-9.022,1,0.0619,0.509,0.00321,0.0884,0.062,81.755,4
"spotify:track:2SLwbpExuoBDZBpjfefCtV","Out of Time","Dawn FM","The Weeknd",2022-01-06,214193,77,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,NA,"XO / Republic Records",0.65,0.76,0,-4.422,0,0.0446,0.255,0,0.339,0.838,93.057,4
"spotify:track:2CDVqsGGkf2v1tMETt3fq5","Baddest","Baddest","Yung Bleu;Chris Brown;2 Chainz",2021-06-11,202247,49,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b,dirty south rap,rap","Moon Boy University / EMPIRE",0.712,0.703,4,-6.174,0,0.199,0.0287,0,0.13,0.452,89.024,4
"spotify:track:2L85gIDzIGLTmHCRUW2pHR","FOREVER","Mood Swings","Vedo",2023-01-13,240048,34,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,NA,"New Wav Music Group / Island Prolific / EMPIRE",0.766,0.518,8,-6.527,1,0.0835,0.744,2.23e-05,0.109,0.494,119.906,4
"spotify:track:6XHVuErjQ4XNm6nDPVCxVX","No Guidance (feat. Drake)","Indigo","Chris Brown;Drake",2019-06-28,260645,80,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b,rap","Chris Brown Entertainment/RCA Records",0.696,0.454,1,-6.756,0,0.153,0.123,0,0.155,0.136,92.928,4
"spotify:track:0k4S8MgCg1CKWUy5hNV8GA","CHERIMOYA - BONUS","FORWARD","Jordan Ward",2023-03-03,129080,48,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"alternative r&b","ARTium Recordings, LLC/Interscope Records",0.515,0.324,1,-13.517,0,0.0679,0.885,0.00373,0.156,0.387,84.984,4
"spotify:track:35RJhm1pEovTBwnNR0zWad","GREECE (feat. Drake)","GREECE (feat. Drake)","DJ Khaled;Drake",2020-07-16,218901,69,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"rap","OVO/We The Best/Epic",0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.229,85.84,4
"spotify:track:3Z9aukqdW2HuzFF1x9lKUm","Back 2 the Streets","Back 2 the Streets","Ann Marie",2023-01-25,160327,36,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,NA,"Ann Marie, LLC",0.704,0.481,1,-8.848,1,0.0913,0.15,0,0.111,0.342,122.164,4
"spotify:track:66NoUNhP5i2pRk3d3ngPNJ","Rock With You (feat. Lloyd)","Rock With You (feat. Lloyd)","Mason & Julez;Lloyd",2023-02-24,170344,28,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b","Mason & Julez, Distributed by Venice Music",0.585,0.595,1,-8.914,1,0.197,0.281,1.13e-06,0.154,0.347,76.894,4
"spotify:track:4feJAooMTHgI86QLYL2yHM","All For Me","All For Me","Eric Bellinger",2023-11-03,180073,0,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-11-03 05:25:04,NA,"All Wins Ent.",0.514,0.649,10,-4.587,1,0.108,0.0575,0,0.146,0.611,137.729,4
"spotify:track:3CtfBYewF9YoIj4tN1Xuh6","Find A Way (feat. Lil Baby)","Back of My Mind","H.E.R.;Lil Baby",2021-06-18,197416,39,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b","MBK Entertainment/RCA Records",0.597,0.663,9,-6.992,1,0.436,0.00733,0,0.0791,0.577,157.544,4
"spotify:track:0WlotBaAKbCwFTRnrypGpu","Nasty","Nasty","Tyga;Chris Brown",2022-12-16,208620,50,TRUE,"gdmg59uun5noyjwh28hpotmvj",2025-11-13 22:13:53,"r&b","Last Kings Music / EMPIRE",0.7,0.678,11,-5.618,0,0.321,0.0688,0,0.114,0.648,104.147,4
"spotify:track:01jIO8SJFnpSiNLH1JaBZ5","You","4275 (Bonus Version)","Jacquees",2018-09-07,217386,66,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b,trap soul","Republic Records",0.735,0.453,8,-8.264,0,0.0601,0.415,0,0.104,0.335,115.005,4
"spotify:track:0RBw4ODUQPO4cuAOZtBGga","Hurts Me","Hurts Me","Tory Lanez;Trippie Redd;Yoko Gold",2023-06-27,140800,75,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"melodieuze rap","One Umbrella Records",0.553,0.786,8,-5.477,0,0.0325,0.0438,0,0.119,0.673,149.968,4
"spotify:track:6RQ5IwG7uADz9LDWliJGjU","Special","SOS","SZA",2022-12-09,158840,69,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b","Top Dawg Entertainment/RCA Records",0.604,0.199,0,-11.831,1,0.05,0.777,0,0.109,0.191,76.134,4
"spotify:track:1l7YlPpkgCBApfEazaxJY2","Rounds","The Product III: stateofEMERGEncy","August Alsina",2020-06-26,212752,32,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b","Shake the World / EMPIRE",0.581,0.699,1,-4.103,1,0.338,0.353,0,0.117,0.493,118.091,4
"spotify:track:4glIWlSYP3CkQxIACqIl0A","Undefeated (feat. Eric Bellinger)","Undefeated (feat. Eric Bellinger)","Journey Montana;Eric Bellinger",2023-11-17,213458,29,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-12-15 08:45:54,NA,"10K Projects",0.606,0.485,9,-8.987,0,0.0362,0.692,1.22e-06,0.113,0.333,89.967,4
"spotify:track:5utUZ5nv6y6dR8irsnOQEj","Bloom","Bloom","Aqyila",2024-02-09,175057,59,FALSE,"gdmg59uun5noyjwh28hpotmvj",2024-03-04 00:53:32,NA,"Sony Music Canada",0.325,0.804,10,-4.439,1,0.168,0.573,1e-05,0.281,0.441,157.168,4
"spotify:track:1PjOJD6X6uInaheqUSDCJT","Hit My Line","Breezy (Deluxe)","Chris Brown",2022-07-08,158440,51,TRUE,"gdmg59uun5noyjwh28hpotmvj",2025-11-13 22:10:31,"r&b","Chris Brown Entertainment/RCA Records",0.645,0.607,9,-7.399,1,0.0493,0.0217,0,0.558,0.606,93.161,4
"spotify:track:5QWeA8yblTacG40sEV7B9o","Big Vibez","Full Circle : Sonic Book One","Omarion",2023-05-05,166808,7,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b","Omarion Worldwide",0.634,0.56,0,-8.247,1,0.208,0.0229,0,0.166,0.306,140.807,4
"spotify:track:0omx2LN5ABADusOyzKVYUY","Sleep At Night","Breezy","Chris Brown",2022-06-24,219586,47,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b","Chris Brown Entertainment/RCA Records",0.579,0.418,6,-10.511,0,0.0969,0.394,0,0.0783,0.497,111.845,3
"spotify:track:5hMZqJyng6J0Xtngbqn4kj","Time & Space","Time & Space","Yo Trane",2021-02-12,199540,35,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"trap soul","Black Wolf Intl",0.511,0.355,7,-11.531,1,0.138,0.303,1.15e-06,0.105,0.382,136.814,5
"spotify:track:4nFrcGM7MY1mpoQCC7Kefj","Me & U","Me & U","Tems",2023-10-05,192935,73,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-10-19 14:46:23,"afrobeats,afro r&b,alté,afrobeat","RCA Records/Since 93'",0.775,0.662,10,-7.755,1,0.0408,0.117,0.0648,0.0928,0.257,112.014,4
"spotify:track:0XkQ23l4GT8sFHgeNRGAO4","LET'S GET MARRIED","COLOURS","PARTYNEXTDOOR",2021-01-29,224014,0,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"dark r&b,r&b,trap soul","OVO Sound/Warner Records",0.501,0.643,1,-6.763,1,0.0383,0.0605,0.000137,0.151,0.22,130.85,4
"spotify:track:3SX7xiRjM8X2t5SmIU3aPQ","One Of These","3","Ella Mai",2024-11-03,224597,63,FALSE,"gdmg59uun5noyjwh28hpotmvj",2025-05-21 16:27:30,"r&b","10 Summers/Interscope Records",0.6,0.511,6,-5.886,0,0.173,0.191,1.72e-06,0.472,0.568,123.706,5
"spotify:track:5h0uJbjD9QEvXwigegc5O5","Party Girls (feat. Buju Banton)","Party Girls (feat. Buju Banton)","Victoria Monét;Buju Banton",2023-05-10,243094,41,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"alternative r&b,reggae,dancehall,ragga,lovers rock,roots reggae,soca","Lovett Music/RCA Records",0.435,0.785,9,-5.946,0,0.239,0.296,0.000886,0.346,0.742,79.301,4
"spotify:track:3sQWzLuYeu8dOVTrYwkFlf","Gone (with Bryson Tiller)","Grudges","Kiana Ledé;Bryson Tiller",2023-06-16,213987,40,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"trap soul,r&b","The Heavy Group / Republic Records",0.679,0.607,5,-6.104,0,0.0434,0.0401,0.000864,0.458,0.267,102.936,4
"spotify:track:6ydpPcCGhQ4Ox3H0ly0WcX","Slow Motion","Slow Motion","Trey Songz",2015-01-20,197854,39,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b","Songbook/Atlantic",0.733,0.408,7,-7.834,0,0.0388,0.679,3.92e-05,0.11,0.291,94.947,4
"spotify:track:1P3iJJdGBH7BhUCjh08YCU","Another Me","After the Butterflies","Queen Naija",2023-11-17,163800,31,FALSE,"gdmg59uun5noyjwh28hpotmvj",2024-01-13 15:55:16,NA,"Capitol Records",0.472,0.427,7,-8.362,1,0.153,0.595,0,0.104,0.384,169.123,4
