0.000000000,0.259093
0.023219955,0.224442
0.046439909,0.164266
0.069659864,0.169317
0.092879819,0.201174
0.116099773,0.194315
0.139319728,0.180593
0.162539683,0.187105
0.185759637,0.181087
0.208979592,0.217675
0.232199546,0.202284
0.255419501,0.172068
0.278639456,0.166465
0.301859410,0.186917
0.325079365,0.182512
0.348299320,0.172837
0.371519274,0.173201
0.394739229,0.19516
0.417959184,0.212807
0.441179138,0.196031
0.464399093,0.194536
0.487619048,0.182454
0.510839002,0.136402
0.534058957,0.15994
0.557278912,0.17505
0.580498866,0.177372
0.603718821,0.185114
0.626938776,0.191654
0.650158730,0.168865
0.673378685,0.151511
0.696598639,0.179156
0.719818594,14.0532
0.743038549,46.6047
0.766258503,103.332
0.789478458,140.555
0.812698413,161.137
0.835918367,135.255
0.859138322,120.433
0.882358277,91.0093
0.905578231,184.223
0.928798186,112.933
0.952018141,108.413
0.975238095,141.689
0.998458050,170.505
1.021678005,216.525
1.044897959,214.577
1.068117914,205.644
1.091337868,190.28
1.114557823,161.705
1.137777778,99.2918
1.160997732,70.8507
1.184217687,47.0814
1.207437642,18.0936
1.230657596,3.88956
1.253877551,3.84143
1.277097506,3.60058
1.300317460,5.77834
1.323537415,14.9052
1.346757370,23.0833
1.369977324,28.3831
1.393197279,33.8072
1.416417234,29.3351
1.439637188,22.1358
1.462857143,125.177
1.486077098,161.978
1.509297052,94.5476
1.532517007,170.371
1.555736961,108.948
1.578956916,62.29
1.602176871,66.2717
1.625396825,50.1848
1.648616780,71.845
1.671836735,116.033
1.695056689,177.832
1.718276644,190.91
1.741496599,171.765
1.764716553,143.698
1.787936508,133.592
1.811156463,122.565
1.834376417,108.058
1.857596372,78.1529
1.880816327,51.998
1.904036281,52.1235
1.927256236,8.42908
1.950476190,32.9287
1.973696145,430.433
1.996916100,883.588
2.020136054,708.259
2.043356009,684.976
2.066575964,596.915
2.089795918,496.614
2.113015873,457.251
2.136235828,403.171
2.159455782,358.639
2.182675737,408.147
2.205895692,325.618
2.229115646,228.078
2.252335601,175.585
2.275555556,349.187
2.298775510,405.145
2.321995465,308.954
2.345215420,270.046
2.368435374,220.135
2.391655329,257.529
2.414875283,261.177
2.438095238,215.767
2.461315193,213.007
2.484535147,161.544
2.507755102,87.3042
2.530975057,73.8178
2.554195011,860.793
2.577414966,624.378
2.600634921,586.886
2.623854875,678.974
2.647074830,216.518
2.670294785,116.391
2.693514739,95.4026
2.716734694,85.8679
2.739954649,72.6543
2.763174603,74.6583
2.786394558,64.8025
2.809614512,67.7637
2.832834467,298.424
2.856054422,385.46
2.879274376,344.219
2.902494331,240.432
2.925714286,223.074
2.948934240,155.944
2.972154195,140.543
2.995374150,146.701
3.018594104,85.9729
3.041814059,70.5004
3.065034014,75.2249
3.088253968,56.1637
3.111473923,81.0856
3.134693878,264.938
3.157913832,291.995
3.181133787,242.37
3.204353741,156.435
3.227573696,262.428
3.250793651,239.779
3.274013605,218.32
3.297233560,204.255
3.320453515,192.201
3.343673469,207.745
3.366893424,172.094
3.390113379,193.008
3.413333333,58.0433
3.436553288,53.3068
3.459773243,51.6945
3.482993197,52.1006
3.506213152,63.0802
3.529433107,56.2998
3.552653061,55.3851
3.575873016,53.187
3.599092971,50.1106
3.622312925,39.1904
3.645532880,40.4254
3.668752834,44.9087
3.691972789,913.682
3.715192744,611.49
3.738412698,736.888
3.761632653,793.979
3.784852608,344.322
3.808072562,83.2569
3.831292517,51.7368
3.854512472,37.0563
3.877732426,30.3038
3.900952381,48.4214
3.924172336,120.674
3.947392290,179.56
3.970612245,206.298
3.993832200,267.12
4.017052154,294.652
4.040272109,352.17
4.063492063,231.14
4.086712018,182.575
4.109931973,207.209
4.133151927,182.077
4.156371882,170.697
4.179591837,147.205
4.202811791,195.108
4.226031746,178.567
4.249251701,140.111
4.272471655,522.766
4.295691610,476.725
4.318911565,338.507
4.342131519,312.258
4.365351474,277.534
4.388571429,269.453
4.411791383,238.692
4.435011338,241.741
4.458231293,245.474
4.481451247,268.495
4.504671202,137.291
4.527891156,159.632
4.551111111,204.333
4.574331066,413.094
4.597551020,450.414
4.620770975,324.56
4.643990930,389.142
4.667210884,373.117
4.690430839,311.888
4.713650794,363.226
4.736870748,315.572
4.760090703,247.715
4.783310658,216.53
4.806530612,190.784
4.829750567,374.446
4.852970522,643.669
4.876190476,740.191
4.899410431,859.568
4.922630385,473.416
4.945850340,206.135
4.969070295,168.326
4.992290249,167.052
5.015510204,179.556
5.038730159,197.15
5.061950113,165.904
5.085170068,123.092
5.108390023,96.6355
5.131609977,436.895
5.154829932,400.559
5.178049887,290.385
5.201269841,241.077
5.224489796,235.894
5.247709751,231.515
5.270929705,181.265
5.294149660,195.873
5.317369615,142.757
5.340589569,173.983
5.363809524,183.905
5.387029478,214.862
5.410249433,285.319
5.433469388,365.186
5.456689342,361.816
5.479909297,458.784
5.503129252,322.588
5.526349206,238.123
5.549569161,229.439
5.572789116,223.801
5.596009070,253.808
5.619229025,218.625
5.642448980,252.221
5.665668934,268.946
5.688888889,190.618
5.712108844,104.049
5.735328798,88.3795
5.758548753,111.157
5.781768707,152.542
5.804988662,107.45
5.828208617,97.4631
5.851428571,139.12
5.874648526,92.012
5.897868481,90.6912
5.921088435,122.686
5.944308390,99.3918
5.967528345,121.264
5.990748299,953.461
6.013968254,793.913
6.037188209,824.647
6.060408163,556.823
